Id,PC1,PC2,PC3,label
GLY80_M41_O1_1021,86.81325245,13.34051489,0.055477627,GLY80
GLY50_M31_O1_1010,-15.12834886,21.91522938,-10.38641862,GLY50
GLY20_M46_O1_1003,-40.2108026,-16.4369301,-3.29149038,GLY20
GLY50_M73_O1_1013,-25.31749349,28.59142122,-3.838133557,GLY50
GLY80_M92_O1_1025,76.46427664,17.40866807,4.170367705,GLY80
GLY60_M5_O1_1013,-3.350421313,34.00784642,-1.447004598,GLY60
GLY50_M66_O1_1010,-22.5986245,25.81353346,-5.03840181,GLY50
GLY40_M27_O1_1006,-38.98823007,7.716304749,-9.132130711,GLY40
GLY40_M95_O1_1007,-32.67060595,9.955465624,-11.50430033,GLY40
AGUA_M36_O1_0928,-54.66122056,-39.39068476,14.04512369,WATER
GLY10_M24_O1_0930,-44.01658974,-30.95655888,0.483908632,GLY10
GLY50_M98_O1_1013,-29.75383702,27.32234471,-3.310820017,GLY50
AIRE_M35_O1_1003,172.4788071,-34.25364794,-2.789592574,AIR
GLY40_M56_O1_1007,-37.16940435,11.35394783,-8.432385256,GLY40
GLY70_M60_O1_1017,40.38107205,27.05062869,1.20706909,GLY70
AIRE_M45_O1_1004,172.9536626,-36.23537873,-2.905989448,AIR
GLY80_M98_O1_1025,85.83590489,14.35019685,4.073451125,GLY80
AGUA_M68_O1_0929,-47.05304861,-40.08428285,6.338818414,WATER
AGUA_M5_O1_0928,-49.38372615,-36.18943689,8.801919073,WATER
GLY70_M50_O1_1017,44.84130025,26.13778427,1.022746223,GLY70
GLY70_M45_O1_1017,41.85604322,26.16858648,-0.548039587,GLY70
GLY70_M44_O1_1017,43.03299974,26.04133475,-0.105354008,GLY70
GLY60_M16_O1_1013,-4.251800714,33.71616857,-1.50626177,GLY60
GLY50_M3_O1_1010,-20.02492534,22.51454992,-8.396566209,GLY50
GLY60_M50_O1_1014,2.072531651,33.93323893,-1.794681477,GLY60
GLY30_M93_O1_1005,-35.54113812,-5.344974518,-10.70058968,GLY30
GLY80_M36_O1_1021,85.37808043,13.28651142,-0.47416861,GLY80
GLY40_M8_O1_1006,-40.16039375,7.392901373,-7.991866457,GLY40
AIRE_M28_O1_1003,172.0712336,-35.32176916,-2.627573651,AIR
GLY40_M75_O1_1007,-28.85516017,11.10846769,-12.68147484,GLY40
GLY50_M38_O1_1010,-22.13234062,24.05252705,-6.000247614,GLY50
GLY20_M99_O1_1004,-33.3411892,-14.40328383,-8.677350064,GLY20
AIRE_M86_O1_1017,169.4724236,-33.61289332,-2.619970238,AIR
GLY80_M35_O1_1021,82.86829522,14.55026685,0.234464769,GLY80
GLY70_M38_O1_1017,38.92223963,26.7696342,0.209298511,GLY70
GLY70_M71_O1_1018,42.36027592,25.98177395,0.769978188,GLY70
GLY60_M56_O1_1014,2.174092728,34.28133525,-0.373751422,GLY60
AIRE_M2_O1_0928,163.2846607,-30.21021455,-0.437042251,AIR
GLY10_M90_O1_1003,-37.30558023,-30.33796779,-2.591503713,GLY10
GLY10_M9_O1_0930,-40.88362644,-31.68731742,-0.221027216,GLY10
GLY70_M81_O1_1018,37.30779467,31.79431174,6.077148962,GLY70
GLY20_M49_O1_1003,-43.11452274,-16.8613699,-2.767875339,GLY20
GLY70_M27_O1_1017,41.36304409,26.48946308,0.027962882,GLY70
GLY50_M60_O1_1010,-21.11569413,24.27366832,-6.530532447,GLY50
AIRE_M1_O1_0928,164.5481952,-31.78852491,0.199071407,AIR
GLY10_M76_O1_1003,-36.49924525,-29.74285609,-4.047545544,GLY10
GLY40_M78_O1_1007,-31.92600933,10.80903451,-11.3426486,GLY40
AGUA_M10_O1_0928,-48.17962783,-34.98181729,8.956567291,WATER
GLY70_M61_O1_1017,40.28058783,27.98829529,1.239596139,GLY70
GLY80_M44_O1_1021,83.55717377,13.96597007,0.345150703,GLY80
GLY80_M53_O1_1021,83.87514467,14.03553896,-0.202841011,GLY80
AIRE_M17_O1_0930,170.6459826,-34.95279086,-3.052214137,AIR
GLY20_M95_O1_1004,-49.03310924,-21.34966737,0.846247121,GLY20
AIRE_M62_O1_1007,170.4895957,-35.90855414,-2.352954057,AIR
GLY30_M23_O1_1004,-37.98392901,-4.341288862,-8.568836296,GLY30
GLY20_M42_O1_1003,-42.51833187,-18.67580079,-2.906326274,GLY20
GLY50_M50_O1_1010,-19.20801178,24.36508775,-7.218931491,GLY50
GLY30_M12_O1_1004,-43.0728972,-8.898553886,-4.927644782,GLY30
GLY60_M45_O1_1014,4.847778231,33.44656793,-2.134038168,GLY60
AIRE_M98_O1_1025,169.4242218,-34.34643428,-0.936692806,AIR
GLY70_M5_O1_1017,48.26259379,27.76321169,2.94495534,GLY70
GLY80_M45_O1_1021,86.68363445,13.19716349,0.047381508,GLY80
