,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Label,Set
AIR_M25R1_O1_1912,-3.60585811395979,-14.530504071487334,3.2891228075398997,-3.649058773816518,8.448123681911943,0.2513396318035281,7.817884827300749,AIR,TRAIN
AIR_M25R2_O1_1912,-3.521871433837889,15.745123922954166,1.9090269457303397,-7.649018113611036,3.3724845339189864,-1.580844797211902,7.087694172896965,AIR,TRAIN
AIR_M25R3_O1_1912,12.669779906131211,9.470653547485012,-2.656295115219591,5.234809767455282,4.441689029625038,3.582835628313882,7.686318268480423,AIR,TRAIN
AIR_M25R5_O1_1912,7.26005174874335,-13.000864870912816,3.442413625737605,-4.8251392440316,-0.6338492240046161,-6.79649592892875,8.162130022349578,AIR,TRAIN
AIR_M26R0_O1_1912,11.79630865794323,10.681370623215143,-3.0450873419346927,4.532502659353525,5.536721642777676,2.6795241868065625,7.477761350586934,AIR,TRAIN
AIR_M26R1_O1_1912,-8.85866340262631,-12.769163336813076,-0.887313640169088,-1.652698306337639,7.909678966183792,5.247755412524964,7.858843195547866,AIR,TRAIN
AIR_M26R2_O1_1912,-12.777737813838959,-9.24330075218871,-5.480323147747097,1.401916609021269,3.416055804048061,6.132411979321164,7.751135770853943,AIR,TRAIN
AIR_M26R3_O1_1912,6.836244129342862,-13.4342031467585,3.4874605544008803,-4.876189329546845,-0.05178511561727218,-6.954421842547967,7.983139149895677,AIR,TRAIN
AIR_M26R4_O1_1912,16.020865646119532,1.5922030723564715,-0.2769982194245157,4.392711980176939,-4.45020275231823,4.884174406978942,8.191192146444838,AIR,TRAIN
AIR_M26R5_O1_1912,0.769791314529178,16.030244772569542,-1.1914535371585875,-6.014376523206045,6.2179626354783295,-1.1085909235651794,7.000593203849509,AIR,TRAIN
AIR_M27R0_O1_2012,-10.080244059125052,-12.262042230477954,-2.1022172975105238,-1.0360219215906459,6.9063359896242105,6.025760535290335,7.96849743781471,AIR,TRAIN
AIR_M27R1_O1_2012,-3.703610410020555,16.164834443543302,1.8923700753233597,-7.703980166599651,3.106599530346063,-1.279540860541382,7.143215097150905,AIR,TRAIN
AIR_M27R2_O1_2012,11.675250179058857,-10.391448033907537,1.2970266701998752,-3.8718754108680984,-5.486901256475719,-4.959669299676953,8.419215066046291,AIR,TRAIN
AIR_M27R3_O1_2012,-9.811325477522495,13.548605055579808,6.199913112779913,-4.944419851817452,-2.171092556863025,-2.079430671204582,7.3589869923912445,AIR,TRAIN
AIR_M27R4_O1_2012,-3.6005537306416637,-14.968154532641199,3.59100846795932,-3.5120296843933096,8.385618201607691,0.26522871945569726,7.946207420311975,AIR,TRAIN
AIR_M27R5_O1_2012,-13.48818011590981,-8.73751103282897,-5.851934553180693,1.7540277409181666,2.7346781764981856,6.022765924464632,7.988284741897645,AIR,TRAIN
AIR_M28R0_O1_2012,2.2977018733754675,15.643494652180092,-1.851239044752596,-4.782493862885546,7.153625159618001,-0.7983057760650725,7.224274024465661,AIR,TRAIN
AIR_M28R1_O1_2012,2.1437300433412183,-14.831592026334807,4.71422474799274,-4.353017585362879,4.912926498158672,-4.897526839984189,7.814159355296243,AIR,TRAIN
AIR_M28R2_O1_2012,-15.476347002691027,2.33583552427058,-1.2078751219149872,5.828977521271617,-5.81474970544549,-1.580787114331282,7.902488803215137,AIR,TRAIN
AIR_M28R3_O1_2012,-15.139616400298896,-3.5121126330430674,-5.900105020450339,5.296620387108043,-2.2665056784286564,2.4533866225372813,8.083659726498936,AIR,TRAIN
AIR_M28R4_O1_2012,14.644716149259771,-5.781325936176253,0.2916546426247377,-1.1436435212747131,-8.004001306577454,-0.1690179391706622,8.417750495756135,AIR,TRAIN
AIR_M28R5_O1_2012,-15.586954908868893,2.1368224390526267,-1.3810527046805767,5.972643888995642,-5.559394671847993,-1.469798673225606,7.841688496147,AIR,TRAIN
AIR_M29R0_O1_2012,15.94212587762479,-0.45920122765257887,-0.11510093513541512,3.041731466080685,-6.068724166289666,4.048402060748222,8.363346344407146,AIR,TRAIN
AIR_M29R1_O1_2012,-14.913752869834179,4.937030240679196,1.7207095483779462,4.730467431301611,-6.431869754329486,-2.466356370375312,7.913036501743357,AIR,TRAIN
AIR_M29R2_O1_2012,15.588369932935798,-2.2615190901799243,-0.13457080891599874,1.8069850461063859,-7.226700473828276,2.8695847397132783,8.605194385921887,AIR,TRAIN
AIR_M29R3_O1_2012,-7.377854943716044,-13.358721890005574,0.502373615815835,-2.340010572347544,8.559198978372066,4.039433937365022,7.954265687188678,AIR,TRAIN
AIR_M29R4_O1_2012,-8.605281876981081,13.937236930190213,5.819650663550086,-5.9391165227364375,-1.2305964588675304,-2.1043187227099054,7.337551786443305,AIR,TRAIN
AIR_M29R5_O1_2012,10.80848186573757,11.583871754490486,-3.250630279282706,3.558823237905473,6.336415637222924,2.2208163206178195,7.497533503210963,AIR,TRAIN
AIR_M2R0_O1_0112,-5.346672125442721,15.711597564404139,3.1106031798437925,-7.650239455987716,1.7297475194417418,-1.3332982579780395,7.114124827611864,AIR,TRAIN
AIR_M2R1_O1_0112,-11.102057234839833,12.297476403773443,6.644297721492404,-3.0828925590622167,-3.4010806469559287,-2.2804605015711856,7.349252797072085,AIR,TRAIN
AIR_M2R2_O1_0112,-5.6206749698071565,-14.528586520738513,2.553299290301879,-2.891001907408773,8.499864387383418,2.3742960407735456,7.846053242031671,AIR,TRAIN
AIR_M2R3_O1_0112,-5.561150466132023,15.5816755159883,3.3656970608331207,-7.635743585483729,1.520938385339359,-1.3709209512470926,7.185443564948292,AIR,TRAIN
AIR_M2R4_O1_0112,-15.872618739441851,2.5985593829795235,-0.9968296840832646,5.963566941394882,-5.466825687738998,-1.9847087340773157,7.822461142788497,AIR,TRAIN
AIR_M2R5_O1_0112,2.323749405078897,15.979176121142402,-2.1026226885844697,-4.817303775514832,6.911136169383557,-0.9917761589388185,7.194281152825852,AIR,TRAIN
AIR_M30R0_O1_2012,-10.573248096421946,12.287185045893823,6.476631814538058,-3.6563096965767934,-3.2637479956410496,-2.6625308960956815,7.40303526751402,AIR,TRAIN
AIR_M30R1_O1_2012,-14.221855667828763,-6.59678800972786,-6.572774680996651,3.427459690424611,0.701277839404447,4.6315254056087145,7.879296014506864,AIR,TRAIN
AIR_M30R2_O1_2012,-13.469260754197407,-7.929395119354969,-6.07365472452447,2.438079317539825,2.1388395226303105,5.688688304016126,7.855912520735402,AIR,TRAIN
AIR_M30R3_O1_2012,15.955166868097892,-0.08336832195464612,-0.2898987063417181,3.2767179794270676,-5.733573458933068,4.239409192026489,8.314312219527272,AIR,TRAIN
AIR_M30R4_O1_2012,-11.820677382631846,-10.14896632574745,-4.485584796165812,0.6066024259769464,4.903421199712503,6.3725651434732224,7.877034886496001,AIR,TRAIN
AIR_M30R5_O1_2012,-12.389407826486876,10.438591380133714,6.166866886026988,-0.8717683737714867,-4.801778465476159,-2.8773475124937455,7.342413088251571,AIR,TRAIN
AIR_M3R0_O1_0212,-16.036069579979667,-0.2774723090581696,-3.7833264565325364,6.020381990519123,-4.260302420553516,-0.5045180523290186,7.863640012043494,AIR,TRAIN
AIR_M3R1_O1_0212,-12.449713362786788,-10.333533169289431,-4.548111982509607,0.40541247623766935,4.295625776922817,6.502940207945128,7.775036796227817,AIR,TRAIN
AIR_M3R2_O1_0212,0.07947290410416104,-15.451779881576423,4.746758251488632,-3.7310147502462736,6.488182148969058,-3.1786225510191093,7.753255921598784,AIR,TRAIN
AIR_M3R3_O1_0212,8.045092336011024,14.074484618679312,-3.6422145507696837,0.6224822037894803,7.502441998384724,0.2755723368626049,7.2328471930168865,AIR,TRAIN
AIR_M3R4_O1_0212,12.645198193985877,-9.382535404042354,0.8033043965220412,-3.4359863539695463,-6.379092086762583,-3.9222030549317357,8.424325668305501,AIR,TRAIN
AIR_M3R5_O1_0212,-12.67231344846047,10.701458540719967,6.342379847146923,-0.5932088229537146,-4.633592241294909,-2.6982368366727267,7.377828866848214,AIR,TRAIN
AIR_M4R0_O1_0212,2.278848361012086,-15.04384246933184,4.581536869963873,-4.153974882229492,4.875756816924426,-5.026881061033982,7.811201303878421,AIR,TRAIN
AIR_M4R1_O1_0212,-1.643596752658062,-15.2329655081813,4.287337865861683,-3.6771100804901056,7.557863740570553,-1.6526540691368234,7.737109199534778,AIR,TRAIN
AIR_M4R2_O1_0212,-5.060322661653079,-14.781078451130368,2.9583971330085417,-2.9054277857333055,8.339874569389695,1.9283135037800054,7.615738601415339,AIR,TRAIN
AIR_M4R3_O1_0212,10.493822217465034,-11.4041264372729,1.905862395090964,-4.290268502391045,-4.068890308002609,-5.924938124362244,8.178129845856821,AIR,TRAIN
AIR_M4R4_O1_0212,15.750932170951696,-3.3067115158556333,-0.024099543822656572,0.5696656138946585,-7.508379040097419,2.2981671716667793,8.37915011925202,AIR,TRAIN
AIR_M4R5_O1_0212,16.16159514189169,2.2555372678185384,-0.20645420986421922,4.61774241392972,-3.571877233351278,5.109551168901151,8.218176420193203,AIR,TRAIN
AIR_M5R0_O1_0212,-15.827736344439176,0.20018066089679998,-3.2838116317062713,6.199749812159984,-4.5888315897084055,-0.5806749586894744,8.00592460728371,AIR,TRAIN
AIR_M5R1_O1_0212,3.586104373711368,15.663559400341244,-2.659137443031043,-3.8588854048724417,7.18460832568123,-0.7845199411497479,7.11896699534807,AIR,TRAIN
AIR_M5R2_O1_0212,5.3860075604198325,15.165232219082064,-3.2548371068071678,-2.187041562956933,7.499717771786997,-0.4410868341909234,7.118351144026031,AIR,TRAIN
AIR_M5R3_O1_0212,5.313586072919183,-14.261646326163405,3.923074405447988,-4.422639318381592,1.9736764567958514,-6.478258380475167,7.956917936069389,AIR,TRAIN
